timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,estimated
0,217.369,65.5423,64.7535,65.9023
1,217.341,65.5727,64.543,65.8797
2,217.312,68.0666,64.8991,66.4579
3,217.284,68.0958,64.821,66.7602
4,217.255,68.1271,64.7159,66.9452
5,217.227,66.2649,64.6165,66.7627
6,217.203,71.245,64.8795,66.7221
7,217.175,71.2714,64.6624,66.6615
8,217.146,68.2952,64.5691,66.8999
9,217.118,69.1298,64.6493,67.1994
10,217.089,69.1634,64.7966,67.4222
11,217.061,66.9729,64.7308,67.2336
12,217.032,64.1718,64.5973,66.6519
13,217.004,66.1758,64.4446,66.5183
14,216.975,69.3411,64.6385,66.9161
15,216.947,68.0295,64.4481,66.9981
16,216.919,68.0588,64.4759,67.0647
17,216.872,69.3338,64.4902,67.3085
18,216.844,64.2745,64.5652,66.7216
19,216.816,70.7765,64.3779,66.6284
20,216.788,68.3903,64.569,66.8607
21,216.759,68.4194,64.3928,67.0129
22,216.731,65.0488,64.3111,66.5844
23,216.703,63.9317,64.3978,66.1022
24,216.675,65.247,64.2852,65.9404
25,216.647,69.728,64.2661,66.5073
26,216.619,67.2928,64.1526,66.5471
27,216.598,70.2611,64.1821,67.0335
28,216.57,66.8894,64.3111,66.8876
29,216.542,67.883,64.2717,66.9271
30,216.514,68.666,64.2257,67.0725
31,216.487,67.9555,64.1661,67.0672
32,216.459,66.5562,64.237,66.8523
33,216.431,67.9577,64.1849,66.9019
34,216.404,69.4631,64.1775,67.1684
35,216.376,66.172,64.016,66.8507
36,216.349,69.3276,64.1554,67.1057
37,216.3,66.9503,64.0704,66.9238
38,216.276,70.8207,64.1605,67.3873
39,216.249,67.3455,64.034,67.1906
40,216.222,67.9248,64.0454,67.1321
41,216.194,67.9432,64.0139,67.0879
42,216.167,67.9652,64.0542,67.0599
43,216.14,67.0234,64.0112,66.8902
44,216.112,67.3869,64.1194,66.8254
45,216.085,68.3214,63.967,66.9091
46,216.058,66.7855,63.9568,66.7339
47,216.031,67.6119,64.0386,66.7343
48,216.015,67.3478,64.0476,66.6941
49,215.988,64.5509,63.875,66.2209
50,215.961,69.0368,63.9519,66.5613
51,215.934,69.3458,63.8481,66.8554
52,215.907,65.4041,63.9729,66.4763
53,215.879,68.2916,63.9384,66.6337
54,215.852,69.3974,63.8467,66.9144
55,215.825,67.7559,63.8617,66.8717
56,215.798,69.0871,63.9164,67.0473
57,215.771,64.4127,63.9514,66.4603
58,215.714,63.6025,63.9461,65.8938
59,215.687,69.0086,63.8147,66.2926
60,215.659,66.5582,63.8576,66.2155
61,215.632,66.575,63.9621,66.1666
62,215.604,64.3973,63.8275,65.7842
63,215.577,66.4973,63.8636,65.8232
64,215.55,65.4583,63.8856,65.6929
65,215.522,65.475,63.7839,65.59
66,215.495,68.1909,63.933,65.9409
67,215.467,65.1095,63.8308,65.7205
68,215.455,65.0817,64.0389,65.5652
69,215.427,69.6143,63.8776,65.5017
70,215.399,69.627,63.9188,65.4431
71,215.372,69.4374,63.8754,66.1147
72,215.344,69.7856,64.0454,66.6254
73,215.316,63.568,64.021,65.9711
74,215.288,67.7965,63.8761,66.1595
75,215.261,68.048,63.9002,66.3373
76,215.233,67.6483,64.081,66.418
77,215.179,67.2784,63.9864,66.412
78,215.151,70.0042,64.0595,66.8332
79,215.134,67.899,64.1618,66.8286
80,215.106,68.3191,64.1273,66.8866
81,215.078,66.3498,64.1401,66.6258
82,215.05,69.8683,64.096,66.9696
83,215.023,70.5324,64.1374,67.3311
84,214.995,66.4034,64.0441,66.9566
85,214.967,69.8806,64.0851,67.2148
86,214.939,65.0884,64.0811,66.6669
87,214.911,68.5964,63.9838,66.7908
88,214.884,68.9392,64.0686,66.941
89,214.869,68.526,64.0597,66.9885
90,214.841,68.3835,64.0447,66.9998
91,214.813,68.8989,63.9367,67.0793
92,214.786,69.1905,63.9108,67.1809
93,214.759,66.522,63.9806,66.8486
94,214.731,66.6243,63.9933,66.6155
95,214.704,68.3466,63.8358,66.6953
96,214.677,65.4702,64.2434,66.3377
97,214.614,69.1126,64.0658,66.6181
98,214.587,69.6089,64.0071,66.8994
99,214.56,67.1844,64.096,66.7405
